station_id,station_name,station_latitude,station_longitude
133,Ribeirao Pires–Antonio Bespalec,-23.713455 ,-46.414599
134,Rio Grande da Serra,-23.743029 ,-46.391783
135,Dom Bosco,-23.541560 ,-46.448102
136,Jose Bonifacio,-23.538799 ,-46.431710
137,Guaianases,-23.542096 ,-46.415526
138,Antonio Gianetti Neto,-23.554096 ,-46.383625
139,Ferraz de Vasconcelos,-23.540487 ,-46.368203
140,Poa,-23.525166 ,-46.343562
141,Calmon Viana,-23.525077 ,-46.333245
142,Suzano,-23.534096 ,-46.307909
143,Jundiapeba,-23.542663 ,-46.258073
144,Braz Cubas,-23.536261 ,-46.225199
145,Mogi das Cruzes,-23.521133 ,-46.196758
146,Estudantes,-23.515268 ,-46.184033
147,Engenheiro Goulart,-23.497740 ,-46.519699
148,USP Leste,-23.485401 ,-46.501248
149,Comendador Ermelino,-23.485060 ,-46.482347
150,Sao Miguel Paulista,-23.490499 ,-46.443670
151,Jardim Helena–Vila Mara,-23.492643 ,-46.421088
152,Itaim Paulista,-23.493883 ,-46.402063
153,Jardim Romano,-23.484855 ,-46.385574  
154,Engenheiro Manoel Feio,-23.479199 ,-46.367272
155,Itaquaquecetuba,-23.485566 ,-46.348494
156,Aracare,-23.499751 ,-46.339066
157,Oratorio,-23.581873 ,-46.561689
158,Sao Lucas,-23.588920 ,-46.544616
159,Camilo Haddad,-23.595505 ,-46.537545
160,Vila Tolstoi,-23.600840 ,-46.527188
161,Vila Uniao,-23.602895 ,-46.515528
162,Jardim Planalto,-23.606382  ,-46.507711
163,Sapopemba,-23.614537 ,-46.500934
164,Fazenda da Juta,-23.611855 ,-46.487722  
165,Sao Mateus,-23.612163 ,-46.477396
